id,disc,sector,symbol,token,cap,O,H,L,C,s5,s4,s3,s2,s1,p,r1,r2,r3,r4,r5
315,Manappuram Finance Ltd.,Financial Services,MANAPPURAM-EQ,19061,10469,149.0,150.9,147.5,148.45,139.69999999999993,141.64999999999992,143.59999999999997,145.54999999999998,146.99999999999997,148.95,150.39999999999998,152.35,153.79999999999998,155.24999999999994,156.69999999999993
319,Cholamandalam Financial Holdings Ltd.,Financial Services,CHOLAHLDNG-EQ,21740,10227,1143.0,1174.0,1142.2,1150.1,1067.9333333333325,1086.499999999999,1105.0666666666664,1123.6333333333332,1136.8666666666663,1155.4333333333332,1168.6666666666663,1187.2333333333331,1200.4666666666662,1213.699999999999,1226.9333333333325
322,Computer Age Management Services Ltd.,Financial Services,CAMS-EQ,342,9950,2465.0,2477.8,2424.0,2438.15,2299.3999999999996,2330.55,2361.7,2392.85,2415.5,2446.65,2469.3,2500.4500000000003,2523.1000000000004,2545.750000000001,2568.4000000000005
330,Angel One Ltd.,Financial Services,ANGELONE-EQ,324,9700,1947.0,1951.85,1866.4,1874.35,1649.1333333333341,1703.4500000000012,1757.7666666666673,1812.0833333333337,1843.2166666666672,1897.5333333333335,1928.666666666667,1982.9833333333333,2014.1166666666668,2045.2499999999995,2076.383333333334
334,Central Depository Services (India) Ltd.,Financial Services,CDSL-EQ,21174,9496,1358.7,1375.8,1325.0,1333.1,1200.333333333334,1231.500000000001,1262.666666666667,1293.8333333333335,1313.466666666667,1344.6333333333334,1364.2666666666669,1395.4333333333334,1415.0666666666668,1434.7000000000007,1454.333333333334
337,City Union Bank Ltd.,Financial Services,CUB-EQ,5701,9318,129.4,129.85,125.0,125.4,112.60000000000002,115.70000000000005,118.80000000000001,121.9,123.65,126.75,128.5,131.6,133.35,135.1,136.85000000000002
344,Multi Commodity Exchange of India Ltd.,Financial Services,MCX-EQ,31181,9079,1971.0,2114.4,1940.0,2096.55,1683.6666666666679,1747.75,1811.833333333334,1875.916666666667,1986.233333333334,2050.316666666667,2160.633333333334,2224.716666666667,2335.033333333334,2445.350000000001,2555.666666666668
346,Motilal Oswal Financial Services Ltd.,Financial Services,MOTILALOFS-EQ,14947,9029,887.7,891.5,866.4,875.95,812.2000000000007,825.7500000000005,839.3000000000003,852.8500000000001,864.4000000000003,877.9500000000002,889.5000000000003,903.0500000000002,914.6000000000004,926.1500000000005,937.7000000000007
348,Tata Investment Corporation Ltd.,Financial Services,TATAINVEST-EQ,1621,8827,3333.9,3521.0,3275.0,3440.6,2839.800000000001,2948.6000000000004,3057.4000000000005,3166.2000000000003,3303.4000000000005,3412.2000000000003,3549.4000000000005,3658.2000000000003,3795.4000000000005,3932.6000000000004,4069.800000000001
349,PNB Housing Finance Ltd.,Financial Services,PNBHOUSING-EQ,18908,8663,667.0,685.0,655.1,680.1,608.6999999999998,620.2999999999997,631.9,643.5,661.8,673.4,691.6999999999999,703.3,721.5999999999999,739.8999999999996,758.1999999999998
350,Housing & Urban Development Corporation Ltd.,Financial Services,HUDCO-EQ,20825,8658,87.0,89.0,85.55,86.55,77.6833333333334,79.65000000000003,81.61666666666669,83.58333333333334,85.06666666666669,87.03333333333335,88.5166666666667,90.48333333333335,91.9666666666667,93.45000000000005,94.9333333333334
355,RBL Bank Ltd.,Financial Services,RBLBANK-EQ,18391,8459,247.6,248.85,240.5,241.35,219.3666666666668,224.6500000000001,229.9333333333334,235.2166666666667,238.2833333333334,243.5666666666667,246.63333333333338,251.91666666666669,254.98333333333338,258.05000000000007,261.1166666666668
357,Karur Vysya Bank Ltd.,Financial Services,KARURVYSYA-EQ,1838,8370,135.85,136.8,127.5,132.85,109.83333333333326,114.24999999999994,118.66666666666663,123.08333333333331,127.96666666666664,132.38333333333333,137.26666666666665,141.68333333333334,146.56666666666666,151.45,156.33333333333331
363,UTI Asset Management Company Ltd.,Financial Services,UTIAMC-EQ,527,8151,797.4,798.7,785.0,789.2,754.0666666666666,761.7999999999997,769.5333333333333,777.2666666666667,783.2333333333333,790.9666666666667,796.9333333333334,804.6666666666667,810.6333333333334,816.6000000000001,822.5666666666666
379,Equitas Small Finance Bank Ltd.,Financial Services,EQUITASBNK-EQ,913,7451,89.75,90.6,89.05,89.6,85.65000000000003,86.50000000000006,87.35000000000001,88.2,88.9,89.75,90.45,91.3,92.0,92.70000000000002,93.39999999999998
